fouls_home,fouls_away,corners_home,corners_away,crosses_home,crosses_away,touches_home,touches_away,tackles_home,tackles_away,interceptions_home,interceptions_away,aerials_won_home,aerials_won_away,clearances_home,clearances_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,long_balls_home,long_balls_away,home_team,away_team,home_score,away_score,stadium,state,UF,matchweek,date,time,match_id
23,7,3,2,11,10,436,862,12,18,5,5,7,7,18,13,2,1,4,6,17,13,29,49,São Paulo,Botafogo (RJ),2,0,,,,1,2019-04-27,16:00,0
15,11,3,5,12,25,600,719,18,21,15,9,19,23,24,8,0,2,14,5,32,28,64,64,Chapecoense,Internacional,2,0,,,,1,2019-04-27,19:00,1
12,18,4,4,18,15,737,534,16,14,14,18,22,9,13,16,0,1,7,11,28,23,43,56,Atlético Mineiro,Avaí,2,1,,,,1,2019-04-27,19:00,2
13,17,6,2,28,5,702,552,14,11,17,15,21,19,8,27,0,1,1,5,23,11,34,39,Flamengo,Cruzeiro,3,1,,,,1,2019-04-27,21:00,3
12,18,12,2,30,10,831,560,23,12,14,21,18,11,11,39,2,1,4,10,25,24,51,46,Grêmio,Santos,1,2,,,,1,2019-04-28,11:00,4
15,4,3,6,24,18,641,583,12,12,6,4,14,21,18,12,2,1,8,10,11,19,42,59,Ceará,CSA,4,0,,,,1,2019-04-28,16:00,5
15,19,4,0,14,14,676,566,12,15,12,8,10,7,8,19,2,1,7,8,19,15,51,40,Atl Paranaense,Vasco da Gama,4,1,,,,1,2019-04-28,16:00,6
17,5,4,4,22,10,551,668,21,18,12,11,34,23,20,21,1,0,4,10,24,23,41,69,Bahia,Corinthians,3,2,,,,1,2019-04-28,16:00,7
12,16,6,1,23,10,580,525,27,6,13,7,16,13,14,28,3,1,5,13,17,18,54,34,Palmeiras,Fortaleza,4,0,,,,1,2019-04-28,19:00,8
14,9,5,5,28,16,781,399,11,16,3,9,15,14,9,26,1,0,7,7,20,13,29,50,Fluminense,Goiás,0,1,,,,1,2019-04-28,19:00,9
8,9,4,5,15,14,636,690,18,25,11,13,18,19,21,16,1,3,6,8,22,13,57,50,Internacional,Flamengo,2,1,,,,2,2019-05-01,16:00,10
14,10,7,2,20,11,624,596,27,22,7,10,23,31,13,24,1,1,10,9,24,26,54,53,Corinthians,Chapecoense,1,0,,,,2,2019-05-01,16:00,11
,,,,,,1,2,,,,,,,,,,,,,,,,,CSA,Palmeiras,1,1,,,,2,2019-05-01,16:00,12
10,12,2,3,22,16,799,603,13,17,12,6,14,20,15,24,1,2,5,11,21,18,49,46,Cruzeiro,Ceará,1,0,,,,2,2019-05-01,19:15,13
15,17,11,4,25,14,590,698,23,24,18,15,25,17,17,18,0,0,7,10,21,16,47,65,Avaí,Grêmio,1,1,,,,2,2019-05-01,19:15,14
15,12,5,10,23,19,561,631,13,16,9,8,13,13,16,19,1,1,7,11,21,18,57,40,Goiás,São Paulo,1,2,,,,2,2019-05-01,21:30,15
12,19,2,7,12,25,450,665,13,6,12,6,20,12,24,12,1,0,15,7,18,8,44,34,Fortaleza,Atl Paranaense,2,1,,,,2,2019-05-01,21:30,16
12,9,8,4,33,13,678,653,18,20,9,17,16,18,14,24,0,1,6,12,21,12,32,49,Vasco da Gama,Atlético Mineiro,1,2,,,,2,2019-05-01,21:30,17
25,14,6,1,19,9,579,717,17,14,10,8,6,12,13,18,1,3,4,13,26,14,45,34,Santos,Fluminense,2,1,,,,2,2019-05-02,19:15,18
11,15,3,6,13,20,666,615,15,12,8,7,25,29,22,14,0,4,13,7,19,23,73,45,Botafogo (RJ),Bahia,3,2,,,,2,2019-05-02,20:00,19
15,18,4,5,11,26,472,684,26,23,14,11,26,18,32,6,0,0,7,6,23,28,45,51,Palmeiras,Internacional,1,0,,,,3,2019-05-04,19:00,20
21,8,8,2,26,10,500,571,14,11,11,11,9,20,9,19,0,0,8,7,20,18,47,45,Vasco da Gama,Corinthians,1,1,,,,3,2019-05-04,19:00,21
12,7,6,4,27,11,598,695,12,8,10,10,11,17,13,27,1,1,8,5,18,17,38,62,Ceará,Atlético Mineiro,1,2,,,,3,2019-05-04,21:00,22
