player,shirt_number,nation,position,minutes,goals,assists,penalty_kicks_made,penalty_kicks_attempted,shots,shots_on_target,yellow_cards,red_cards,fouls_commited,fouls_drawn,offsides,crosses,tackles_on,interceptions,own_goals,penalty_kicks_won,penalty_kicks_conceded,team,match_id
Erik Lima,11.0,br BRA,FW,90.0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,,,Botafogo (RJ),0
Rodrigo Pimpão,9.0,br BRA,LW,90.0,0,0,0,0,3,1,1,0,1,0,1,4,0,0,0,,,Botafogo (RJ),0
João Paulo Mior,10.0,br BRA,AM,76.0,0,0,0,0,2,0,1,0,1,3,0,2,2,1,0,,,Botafogo (RJ),0
Leonardo Valencia,20.0,cl CHI,MF,14.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,Botafogo (RJ),0
Wenderson,7.0,br BRA,AM,56.0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,,,Botafogo (RJ),0
Luiz Fernando,17.0,br BRA,MF,34.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,Botafogo (RJ),0
Cícero Santos,8.0,br BRA,RW,90.0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,,,Botafogo (RJ),0
Gustavo Bochecha,5.0,br BRA,DM,76.0,0,0,0,0,0,0,0,0,2,4,0,0,4,0,0,,,Botafogo (RJ),0
Gustavo Ferrareis,19.0,br BRA,MF,14.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Botafogo (RJ),0
Jonathan,6.0,br BRA,LB,90.0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,,,Botafogo (RJ),0
Gabriel,2.0,br BRA,CB,90.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,,,Botafogo (RJ),0
Joel Carli,3.0,ar ARG,CB,90.0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,,,Botafogo (RJ),0
Marcinho,4.0,br BRA,RB,90.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,Botafogo (RJ),0
Gatito Fernández,1.0,py PAR,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Botafogo (RJ),0
Alexandre Pato,7.0,br BRA,FW,75.0,0,0,0,0,1,0,0,0,2,0,2,1,0,1,0,,,São Paulo,0
Jonas,44.0,br BRA,MF,15.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,São Paulo,0
Éverton,22.0,br BRA,AM,90.0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,,,São Paulo,0
Igor Gomes,26.0,br BRA,AM,63.0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,,,São Paulo,0
Hernanes,15.0,br BRA,MF,27.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,São Paulo,0
Antony,39.0,br BRA,AM,90.0,0,1,0,0,0,0,0,0,0,2,0,3,1,1,0,,,São Paulo,0
Hudson,25.0,br BRA,DM,90.0,1,0,0,0,1,1,0,0,4,1,0,0,0,0,0,,,São Paulo,0
Tchê Tchê,28.0,br BRA,DM,86.0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,,,São Paulo,0
Vitor Bueno,12.0,br BRA,MF,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,São Paulo,0
Reinaldo,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,,,São Paulo,0
Bruno Fabiano Alves,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,São Paulo,0
Robert Arboleda,5.0,ec ECU,CB,90.0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,,,São Paulo,0
Igor Vinícius de Souza,2.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,,,São Paulo,0
Tiago Volpi,23.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,São Paulo,0
Neílton,17.0,br BRA,FW,90.0,0,0,0,0,3,1,0,0,1,4,0,0,2,0,0,,,Internacional,1
Rafael Sóbis,23.0,br BRA,FW,90.0,0,0,0,0,2,0,0,0,2,1,0,8,1,0,0,,,Internacional,1
William Pottker,99.0,br BRA,FW,61.0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,,,Internacional,1
Martín Sarrafiore,29.0,ar ARG,FW,29.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,Internacional,1
Nonato,33.0,br BRA,CM,90.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,Internacional,1
Rodrigo Lindoso,19.0,br BRA,CM,90.0,0,0,0,0,2,1,0,0,1,1,0,0,3,1,0,,,Internacional,1
Fernando Camilo Farias,21.0,br BRA,CM,53.0,0,0,0,0,3,1,0,0,0,1,0,1,2,1,0,,,Internacional,1
Jonatan Álvez,86.0,uy URU,FW,37.0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,,,Internacional,1
Uendel,6.0,br BRA,LB,90.0,0,0,0,0,1,1,0,0,2,0,1,11,0,2,0,,,Internacional,1
Emerson Santos,20.0,br BRA,CB,68.0,0,0,0,0,1,1,1,0,2,1,0,0,0,2,0,,,Internacional,1
Rodrigo Moledo,4.0,br BRA,DF,22.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Internacional,1
Roberto,40.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,,,Internacional,1
Bruno Vieira,2.0,br BRA,RB,90.0,0,0,0,0,1,0,0,0,2,1,0,4,1,2,0,,,Internacional,1
Marcelo Lomba,12.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Internacional,1
Everaldo Stum,77.0,br BRA,FW,90.0,2,0,1,1,3,3,0,0,5,1,0,0,0,0,0,,,Chapecoense,1
Régis Tosatti,83.0,br BRA,AM,77.0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,,,Chapecoense,1
Renato,19.0,br BRA,"DF,FW",13.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Chapecoense,1
Diego Fabián Torres,12.0,ar ARG,AM,67.0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,,,Chapecoense,1
Amaral,55.0,br BRA,MF,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,1
Alan Ruschel,28.0,br BRA,AM,65.0,0,0,0,0,1,1,0,0,4,4,0,0,0,1,0,,,Chapecoense,1
Aylon,18.0,br BRA,"FW,MF",25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,1
Gustavo Campanharo,10.0,br BRA,DM,90.0,0,0,0,0,2,1,0,0,3,0,0,0,1,2,0,,,Chapecoense,1
Márcio Araújo,8.0,br BRA,DM,90.0,0,0,0,0,2,1,0,0,1,0,0,0,2,1,0,,,Chapecoense,1
Bruno Pacheco,6.0,br BRA,LB,90.0,0,1,0,0,0,0,0,0,0,1,0,5,3,2,0,,,Chapecoense,1
Douglas,23.0,br BRA,CB,90.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,,Chapecoense,1
Gum,3.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,,,Chapecoense,1
Eduardo,2.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,0,,,Chapecoense,1
Tiepo,98.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,1
Getúlio,99.0,br BRA,FW,45.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,Avaí,2
Feliciano Brizuela,11.0,py PAR,FW,45.0,1,0,0,0,1,1,0,0,1,0,1,2,0,0,0,,,Avaí,2
Gegê,20.0,br BRA,LW,73.0,0,0,0,0,0,0,0,0,4,1,0,4,1,2,0,,,Avaí,2
Jones Carioca,8.0,br BRA,MF,17.0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,Avaí,2
Pedro Castro,7.0,br BRA,AM,90.0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,,,Avaí,2
Matheus Barbosa,94.0,br BRA,AM,90.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,Avaí,2
João Paulo,19.0,br BRA,RW,90.0,0,0,0,0,1,0,0,0,1,3,0,2,2,1,0,,,Avaí,2
Jonny Mosquera,5.0,co COL,DM,72.0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,,,Avaí,2
André Moritz,30.0,br BRA,"FW,MF",18.0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,Avaí,2
