Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1.0,Sat,2020-08-08,19:00,Fortaleza,0–2,Atl Paranaense,,Estádio Castelão,Braulio da Silva Machado,Match Report,
1.0,Sat,2020-08-08,19:30,Coritiba,0–1,Internacional,,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araujo,Match Report,
1.0,Sat,2020-08-08,21:00,Sport Recife,3–2,Ceará,,Estádio Adelmar da Costa Carvalho,Edina Alves Batista,Match Report,
1.0,Sun,2020-08-09,16:00,Flamengo,0–1,Atlético Mineiro,,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
1.0,Sun,2020-08-09,16:00,Santos,1–1,Bragantino,,Estádio Urbano Caldeira,Ricardo Marques Ribeiro,Match Report,
1.0,Sun,2020-08-09,16:00,Goiás,,São Paulo,,Estádio de Hailé Pinheiro,Caio Max Augusto Vieira,,Match Postponed
1.0,Sun,2020-08-09,19:00,Grêmio,1–0,Fluminense,,Arena do Grêmio,Wilton Sampaio,Match Report,
1.0,Sun,2020-08-09,19:45,Palmeiras,,Vasco da Gama,,Allianz Parque,,,Match Postponed
,,,,,,,,,,,
2.0,Wed,2020-08-12,19:15,Atlético Mineiro,3–2,Corinthians,,Estádio Raimundo Sampaio,Wagner do Nascimento Magalhaes,Match Report,
2.0,Wed,2020-08-12,19:15,Bragantino,1–1,Botafogo (RJ),,Estádio Nabi Abi Chedid,André Luiz de Freitas Castro,Match Report,
2.0,Wed,2020-08-12,19:15,Atl Paranaense,2–1,Goiás,,Estádio Joaquim Américo Guimarães,Diego Pombo Lopez,Match Report,
2.0,Wed,2020-08-12,20:30,Atl Goianiense,3–0,Flamengo,,Estádio Olímpico Pedro Ludovico Teixeira,Luiz Flávio de Oliveira,Match Report,
2.0,Wed,2020-08-12,20:30,Bahia,1–0,Coritiba,,Estádio Governador Roberto Santos,Flavio Rodrigues De Souza,Match Report,
2.0,Wed,2020-08-12,21:30,Fluminense,1–1,Palmeiras,,Estadio Jornalista Mário Filho,Rafael Traci,Match Report,
2.0,Wed,2020-08-12,21:30,Ceará,1–1,Grêmio,,Estádio Castelão,Caio Max Augusto Vieira,Match Report,
2.0,Thu,2020-08-13,19:15,São Paulo,1–0,Fortaleza,,Estádio do Morumbi,Leandro Pedro Vuaden,Match Report,
2.0,Thu,2020-08-13,19:30,Internacional,2–0,Santos,,Estádio José Pinheiro Borba,Marcelo de Lima Henrique,Match Report,
2.0,Thu,2020-08-13,20:00,Vasco da Gama,2–0,Sport Recife,,Estádio Club de Regatas Vasco da Gama,Rodolpho Toski Marques,Match Report,
,,,,,,,,,,,
3.0,Sat,2020-08-15,19:00,Grêmio,0–0,Corinthians,,Arena do Grêmio,Bruno Arleu de Araujo,Match Report,
3.0,Sat,2020-08-15,19:30,Coritiba,0–1,Flamengo,,Estádio Major Antônio Couto Pereira,Rodrigo D'Alonso Ferreira,Match Report,
3.0,Sat,2020-08-15,21:30,Palmeiras,1–1,Goiás,,Allianz Parque,Paulo Roberto Alves Júnior,Match Report,
3.0,Sun,2020-08-16,11:00,Atlético Mineiro,2–0,Ceará,,Estádio Raimundo Sampaio,Savio Pereira,Match Report,
3.0,Sun,2020-08-16,16:00,Bahia,2–1,Bragantino,,Estádio Governador Roberto Santos,Felipe Fernandes de Lima,Match Report,
3.0,Sun,2020-08-16,16:00,Vasco da Gama,2–1,São Paulo,,Estádio Club de Regatas Vasco da Gama,Wilton Sampaio,Match Report,
3.0,Sun,2020-08-16,18:00,Fluminense,2–1,Internacional,,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
3.0,Sun,2020-08-16,19:00,Atl Goianiense,1–1,Sport Recife,,Estádio Olímpico Pedro Ludovico Teixeira,Grazianni Maciel Rocha,Match Report,
3.0,Sun,2020-08-16,19:30,Fortaleza,0–0,Botafogo (RJ),,Estádio Castelão,Marielson Alves Silva,Match Report,
3.0,Sun,2020-08-16,19:45,Santos,3–1,Atl Paranaense,,Estádio Urbano Caldeira,Anderson Daronco,Match Report,
,,,,,,,,,,,
4.0,Wed,2020-08-19,19:15,Flamengo,1–1,Grêmio,,Estadio Jornalista Mário Filho,Rafael Traci,Match Report,
4.0,Wed,2020-08-19,19:15,Bragantino,2–1,Fluminense,,Estádio Nabi Abi Chedid,Jean Pierre Goncalves Lima,Match Report,
4.0,Wed,2020-08-19,19:30,Atl Paranaense,0–1,Palmeiras,,Estádio Joaquim Américo Guimarães,Caio Max Augusto Vieira,Match Report,
4.0,Wed,2020-08-19,20:30,Internacional,3–0,Atl Goianiense,,Estádio José Pinheiro Borba,Wagner Reway,Match Report,
4.0,Wed,2020-08-19,20:30,Goiás,1–3,Fortaleza,,Estádio de Hailé Pinheiro,Dyorgines José Padovani Andrade,Match Report,
4.0,Wed,2020-08-19,21:30,Corinthians,3–1,Coritiba,,Arena Corinthians,Braulio da Silva Machado,Match Report,
4.0,Wed,2020-08-19,21:30,Botafogo (RJ),2–1,Atlético Mineiro,,Estádio Nilton Santos,Flavio Rodrigues De Souza,Match Report,
4.0,Thu,2020-08-20,19:15,Sport Recife,0–1,Santos,,Estádio Adelmar da Costa Carvalho,Jose Mendonca da Silva Junior,Match Report,
4.0,Thu,2020-08-20,20:00,São Paulo,1–1,Bahia,,Estádio do Morumbi,Rodrigo Carvalhaes de Miranda,Match Report,
4.0,Thu,2020-08-20,20:00,Ceará,0–3,Vasco da Gama,,Estádio Castelão,Thiago Duarte Peixoto,Match Report,
,,,,,,,,,,,
5.0,Sat,2020-08-22,16:00,Atl Paranaense,0–1,Fluminense,,Estádio Joaquim Américo Guimarães,Daniel Nobre Bins,Match Report,
5.0,Sat,2020-08-22,19:00,Internacional,1–0,Atlético Mineiro,,Estádio José Pinheiro Borba,Luiz Flávio de Oliveira,Match Report,
5.0,Sat,2020-08-22,21:00,Goiás,2–0,Atl Goianiense,,Estádio de Hailé Pinheiro,Wilton Sampaio,Match Report,
5.0,Sun,2020-08-23,11:00,Flamengo,1–1,Botafogo (RJ),,Estadio Jornalista Mário Filho,Leandro Pedro Vuaden,Match Report,
5.0,Sun,2020-08-23,16:00,Palmeiras,2–1,Santos,,Allianz Parque,Vinicius Gonçalves Dias Araujo,Match Report,
5.0,Sun,2020-08-23,16:00,Vasco da Gama,0–0,Grêmio,,Estádio Club de Regatas Vasco da Gama,Savio Pereira,Match Report,
5.0,Sun,2020-08-23,16:00,Bragantino,1–2,Coritiba,,Estádio Nabi Abi Chedid,Gilberto Rodrigues Castro Junior,Match Report,
5.0,Sun,2020-08-23,19:00,Sport Recife,0–1,São Paulo,,Estádio Adelmar da Costa Carvalho,Rodrigo D'Alonso Ferreira,Match Report,
5.0,Sun,2020-08-23,20:00,Ceará,2–0,Bahia,,Estádio Castelão,Wagner do Nascimento Magalhaes,Match Report,
,,,,,,,,,,,
11.0,Wed,2020-08-26,19:00,São Paulo,1–0,Atl Paranaense,,Estádio do Morumbi,Marcelo de Lima Henrique,Match Report,
,,,,,,,,,,,
5.0,Wed,2020-08-26,21:30,Corinthians,1–1,Fortaleza,,Arena Corinthians,Rodolpho Toski Marques,Match Report,
,,,,,,,,,,,
6.0,Sat,2020-08-29,16:00,Atlético Mineiro,,Atl Paranaense,,Estádio Raimundo Sampaio,,,Match Postponed
6.0,Sat,2020-08-29,17:00,Botafogo (RJ),0–2,Internacional,,Estádio Nilton Santos,Thiago Duarte Peixoto,Match Report,
6.0,Sat,2020-08-29,19:00,Fluminense,2–1,Vasco da Gama,,Estadio Jornalista Mário Filho,Braulio da Silva Machado,Match Report,
6.0,Sat,2020-08-29,19:00,Bahia,1–1,Palmeiras,,Estádio Governador Roberto Santos,Bruno Arleu de Araujo,Match Report,
6.0,Sat,2020-08-29,21:00,Fortaleza,3–0,Bragantino,,Estádio Castelão,Rafael Traci,Match Report,
6.0,Sun,2020-08-30,11:00,São Paulo,2–1,Corinthians,,Estádio do Morumbi,Flavio Rodrigues De Souza,Match Report,
6.0,Sun,2020-08-30,16:00,Santos,0–1,Flamengo,,Estádio Urbano Caldeira,Wilton Sampaio,Match Report,
6.0,Sun,2020-08-30,16:00,Coritiba,1–0,Sport Recife,,Estádio Major Antônio Couto Pereira,Raphael Claus,Match Report,
6.0,Sun,2020-08-30,18:00,Atl Goianiense,0–2,Ceará,,Estádio Olímpico Pedro Ludovico Teixeira,Igor Junior Benevenuto,Match Report,
6.0,Sun,2020-08-30,19:00,Grêmio,,Goiás,,Arena do Grêmio,,,Match Postponed
,,,,,,,,,,,
7.0,Wed,2020-09-02,19:00,Ceará,1–0,Fortaleza,,Estádio Castelão,Luiz Flávio de Oliveira,Match Report,
7.0,Wed,2020-09-02,19:15,Goiás,1–2,Corinthians,,Estádio de Hailé Pinheiro,Jose Mendonca da Silva Junior,Match Report,
7.0,Wed,2020-09-02,19:30,Fluminense,1–1,Atl Goianiense,,Estadio Jornalista Mário Filho,Marielson Alves Silva,Match Report,
7.0,Wed,2020-09-02,20:30,Bahia,3–5,Flamengo,,Estádio Governador Roberto Santos,Savio Pereira,Match Report,
7.0,Wed,2020-09-02,20:30,Botafogo (RJ),0–0,Coritiba,,Estádio Nilton Santos,Felipe Fernandes de Lima,Match Report,
7.0,Wed,2020-09-02,20:30,Atl Paranaense,1–1,Bragantino,,Estádio Joaquim Américo Guimarães,Wagner do Nascimento Magalhaes,Match Report,
7.0,Wed,2020-09-02,21:30,Santos,2–2,Vasco da Gama,,Estádio Urbano Caldeira,Rodrigo D'Alonso Ferreira,Match Report,
7.0,Wed,2020-09-02,21:30,Palmeiras,1–1,Internacional,,Allianz Parque,Wilton Sampaio,Match Report,
7.0,Thu,2020-09-03,19:00,Grêmio,1–2,Sport Recife,,Arena do Grêmio,Dyorgines José Padovani Andrade,Match Report,
7.0,Thu,2020-09-03,20:00,Atlético Mineiro,3–0,São Paulo,,Estádio Raimundo Sampaio,Jean Pierre Goncalves Lima,Match Report,
,,,,,,,,,,,
8.0,Sat,2020-09-05,17:00,Flamengo,2–1,Fortaleza,,Estadio Jornalista Mário Filho,Flavio Rodrigues De Souza,Match Report,
8.0,Sat,2020-09-05,19:00,Corinthians,2–2,Botafogo (RJ),,Arena Corinthians,Rafael Traci,Match Report,
8.0,Sat,2020-09-05,21:00,Ceará,0–1,Santos,,Estádio Castelão,Wagner Reway,Match Report,
8.0,Sun,2020-09-06,11:00,Bragantino,1–2,Palmeiras,,Estádio Nabi Abi Chedid,Marcelo de Lima Henrique,Match Report,
8.0,Sun,2020-09-06,16:00,São Paulo,3–1,Fluminense,,Estádio do Morumbi,Paulo Roberto Alves Júnior,Match Report,
8.0,Sun,2020-09-06,16:00,Internacional,2–2,Bahia,,Estádio José Pinheiro Borba,Braulio da Silva Machado,Match Report,
8.0,Sun,2020-09-06,18:00,Vasco da Gama,1–0,Atl Paranaense,,Estádio Club de Regatas Vasco da Gama,Raphael Claus,Match Report,
8.0,Sun,2020-09-06,19:00,Atl Goianiense,1–1,Grêmio,,Estádio Olímpico Pedro Ludovico Teixeira,Ricardo Marques Ribeiro,Match Report,
8.0,Sun,2020-09-06,20:30,Coritiba,0–1,Atlético Mineiro,,Estádio Major Antônio Couto Pereira,Diego Pombo Lopez,Match Report,
8.0,Sun,2020-09-06,20:30,Sport Recife,2–1,Goiás,,Estádio Adelmar da Costa Carvalho,Vinicius Gomes do Amaral,Match Report,
,,,,,,,,,,,
9.0,Wed,2020-09-09,17:30,Atl Paranaense,1–1,Botafogo (RJ),,Estádio Joaquim Américo Guimarães,Vinicius Gonçalves Dias Araujo,Match Report,
9.0,Wed,2020-09-09,18:00,Goiás,3–3,Coritiba,,Estádio de Hailé Pinheiro,Caio Max Augusto Vieira,Match Report,
9.0,Wed,2020-09-09,18:00,Fortaleza,1–0,Sport Recife,,Estádio Castelão,Felipe Fernandes de Lima,Match Report,
9.0,Wed,2020-09-09,19:15,São Paulo,1–1,Bragantino,,Estádio do Morumbi,Savio Pereira,Match Report,
9.0,Wed,2020-09-09,21:30,Santos,3–1,Atlético Mineiro,,Estádio Urbano Caldeira,Wagner do Nascimento Magalhaes,Match Report,
9.0,Wed,2020-09-09,21:30,Fluminense,1–2,Flamengo,,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
9.0,Thu,2020-09-10,19:15,Corinthians,0–2,Palmeiras,,Arena Corinthians,Leandro Pedro Vuaden,Match Report,
9.0,Thu,2020-09-10,19:15,Bahia,0–2,Grêmio,,Estádio Governador Roberto Santos,Jose Mendonca da Silva Junior,Match Report,
9.0,Thu,2020-09-10,19:15,Internacional,2–0,Ceará,,Estádio José Pinheiro Borba,Rodrigo D'Alonso Ferreira,Match Report,
9.0,Thu,2020-09-10,21:00,Vasco da Gama,1–2,Atl Goianiense,,Estádio Club de Regatas Vasco da Gama,Heber Roberto Lopes,Match Report,
,,,,,,,,,,,
10.0,Sat,2020-09-12,16:30,Atl Paranaense,1–0,Coritiba,,Estádio Joaquim Américo Guimarães,Jean Pierre Goncalves Lima,Match Report,
10.0,Sat,2020-09-12,19:00,Santos,2–2,São Paulo,,Estádio Urbano Caldeira,Luiz Flávio de Oliveira,Match Report,
10.0,Sun,2020-09-13,16:00,Grêmio,1–1,Fortaleza,,Arena do Grêmio,Igor Junior Benevenuto,Match Report,
10.0,Sun,2020-09-13,16:00,Fluminense,2–1,Corinthians,,Estadio Jornalista Mário Filho,Braulio da Silva Machado,Match Report,
10.0,Sun,2020-09-13,18:00,Goiás,1–0,Internacional,,Estádio de Hailé Pinheiro,Flavio Rodrigues De Souza,Match Report,
10.0,Sun,2020-09-13,18:00,Ceará,2–0,Flamengo,,Estádio Castelão,Marielson Alves Silva,Match Report,
10.0,Sun,2020-09-13,18:00,Bahia,0–1,Atl Goianiense,,Estádio Governador Roberto Santos,Vinicius Gomes do Amaral,Match Report,
10.0,Sun,2020-09-13,18:00,Atlético Mineiro,2–1,Bragantino,,Estádio Raimundo Sampaio,Ramon Abatti Abel,Match Report,
10.0,Sun,2020-09-13,19:45,Palmeiras,2–2,Sport Recife,,Allianz Parque,Diego Pombo Lopez,Match Report,
10.0,Sun,2020-09-13,20:30,Botafogo (RJ),2–3,Vasco da Gama,,Estádio Nilton Santos,Wilton Sampaio,Match Report,
,,,,,,,,,,,
11.0,Wed,2020-09-16,21:30,Corinthians,3–2,Bahia,,Arena Corinthians,Wagner do Nascimento Magalhaes,Match Report,
11.0,Sat,2020-09-19,19:00,Bragantino,4–2,Ceará,,Estádio Nabi Abi Chedid,Jefferson Ferreira de Moraes,Match Report,
11.0,Sat,2020-09-19,19:00,Fortaleza,1–0,Internacional,,Estádio Castelão,Marielson Alves Silva,Match Report,
11.0,Sat,2020-09-19,21:00,Atl Goianiense,3–4,Atlético Mineiro,,Estádio Olímpico Pedro Ludovico Teixeira,Edina Alves Batista,Match Report,
11.0,Sun,2020-09-20,16:00,Grêmio,1–1,Palmeiras,,Arena do Grêmio,Rodrigo D'Alonso Ferreira,Match Report,
11.0,Sun,2020-09-20,16:00,Coritiba,1–0,Vasco da Gama,,Estádio Major Antônio Couto Pereira,Luiz Flávio de Oliveira,Match Report,
11.0,Sun,2020-09-20,18:15,Botafogo (RJ),0–0,Santos,,Estádio Nilton Santos,Jose Mendonca da Silva Junior,Match Report,
