player,nation,minutes,shots_on_target,goals_againts,saves,save%,team,match_id
Jandrei,br BRA,90.0,3,0,3,1.0,Atl Paranaense,0
Felipe Alves Raymundo,br BRA,90.0,5,2,3,0.6,Fortaleza,0
Marcelo Lomba,br BRA,90.0,0,0,0,,Internacional,1
Wilson,br BRA,90.0,4,1,3,0.75,Coritiba,1
Fernando Prass,br BRA,90.0,2,3,0,0.0,Ceará,2
Mailson,br BRA,90.0,2,2,0,0.0,Sport Recife,2
Rafael Pires,br BRA,90.0,2,0,2,1.0,Atlético Mineiro,3
Diego Alves,br BRA,90.0,5,1,4,0.8,Flamengo,3
Cleiton Schwengber,br BRA,90.0,4,1,3,0.75,Bragantino,4
Vladimir,br BRA,90.0,6,1,5,0.833,Santos,4
Muriel Becker,br BRA,90.0,4,1,3,0.75,Fluminense,5
Vanderlei,br BRA,90.0,4,0,4,1.0,Grêmio,5
Cássio,br BRA,90.0,13,3,10,0.769,Corinthians,6
Rafael Pires,br BRA,90.0,4,2,2,0.5,Atlético Mineiro,6
Gatito Fernández,py PAR,90.0,8,1,7,0.875,Botafogo (RJ),7
Cleiton Schwengber,br BRA,90.0,3,1,2,0.667,Bragantino,7
Marcelo Rangel,br BRA,90.0,4,2,2,0.5,Goiás,8
Santos,br BRA,90.0,2,1,2,1.0,Atl Paranaense,8
Diego Alves,br BRA,82.0,7,3,4,0.5710000000000001,Flamengo,9
César,br BRA,6.0,0,0,0,,Flamengo,9
Jean,br BRA,90.0,3,0,3,1.0,Atl Goianiense,9
Wilson,br BRA,90.0,4,1,4,1.0,Coritiba,10
Douglas Friedrich,br BRA,90.0,3,0,3,1.0,Bahia,10
Jailson,br BRA,90.0,1,1,0,0.0,Palmeiras,11
Muriel Becker,br BRA,90.0,1,1,0,0.0,Fluminense,11
Paulo Victor Vidotti,br BRA,90.0,5,1,4,0.8,Grêmio,12
Fernando Prass,br BRA,90.0,8,1,7,0.875,Ceará,12
Felipe Alves Raymundo,br BRA,90.0,3,1,2,0.667,Fortaleza,13
Tiago Volpi,br BRA,90.0,4,1,3,0.75,São Paulo,13
Vladimir,br BRA,90.0,7,2,5,0.7140000000000001,Santos,14
Marcelo Lomba,br BRA,90.0,1,0,1,1.0,Internacional,14
Mailson,br BRA,90.0,6,2,4,0.667,Sport Recife,15
Fernando Miguel,br BRA,90.0,1,0,1,1.0,Vasco da Gama,15
Cássio,br BRA,90.0,7,0,7,1.0,Corinthians,16
Vanderlei,br BRA,90.0,2,0,2,1.0,Grêmio,16
César,br BRA,90.0,3,0,3,1.0,Flamengo,17
Wilson,br BRA,90.0,7,1,6,0.857,Coritiba,17
Marcelo Rangel,br BRA,90.0,3,1,2,0.667,Goiás,18
Wéverton,br BRA,90.0,5,1,4,0.8,Palmeiras,18
Fernando Prass,br BRA,90.0,4,2,3,0.75,Ceará,19
Rafael Pires,br BRA,90.0,1,0,1,1.0,Atlético Mineiro,19
Cleiton Schwengber,br BRA,90.0,4,2,2,0.5,Bragantino,20
Douglas Friedrich,br BRA,90.0,3,1,2,0.667,Bahia,20
Tiago Volpi,br BRA,90.0,3,2,1,0.33299999999999996,São Paulo,21
Fernando Miguel,br BRA,90.0,2,1,3,1.0,Vasco da Gama,21
Marcelo Lomba,br BRA,90.0,3,2,3,1.0,Internacional,22
Muriel Becker,br BRA,90.0,2,1,1,0.5,Fluminense,22
Mailson,br BRA,90.0,4,1,3,0.75,Sport Recife,23
Jean,br BRA,90.0,4,1,3,0.75,Atl Goianiense,23
Gatito Fernández,py PAR,90.0,1,0,1,1.0,Botafogo (RJ),24
Felipe Alves Raymundo,br BRA,90.0,6,0,6,1.0,Fortaleza,24
Santos,br BRA,90.0,6,3,3,0.5,Atl Paranaense,25
Vladimir,br BRA,35.0,0,0,0,,Santos,25
João Paulo,br BRA,55.0,2,1,1,0.5,Santos,25
Vanderlei,br BRA,90.0,1,1,1,1.0,Grêmio,26
Diego Alves,br BRA,90.0,2,1,1,0.5,Flamengo,26
Muriel Becker,br BRA,90.0,3,2,1,0.33299999999999996,Fluminense,27
Cleiton Schwengber,br BRA,90.0,4,1,3,0.75,Bragantino,27
Wéverton,br BRA,90.0,0,0,0,,Palmeiras,28
Santos,br BRA,90.0,3,1,2,0.667,Atl Paranaense,28
Jean,br BRA,90.0,4,3,2,0.5,Atl Goianiense,29
Marcelo Lomba,br BRA,90.0,1,0,1,1.0,Internacional,29
Felipe Alves Raymundo,br BRA,90.0,4,1,3,0.75,Fortaleza,30
Tadeu,br BRA,90.0,3,3,0,0.0,Goiás,30
Wilson,br BRA,90.0,8,3,7,0.625,Coritiba,31
Cássio,br BRA,90.0,4,1,3,0.75,Corinthians,31
Rafael Pires,br BRA,90.0,5,2,3,0.6,Atlético Mineiro,32
Gatito Fernández,py PAR,90.0,9,1,8,0.889,Botafogo (RJ),32
João Paulo,br BRA,90.0,5,0,5,1.0,Santos,33
Mailson,br BRA,90.0,5,1,4,0.8,Sport Recife,33
Douglas Friedrich,br BRA,67.0,2,0,2,1.0,Bahia,34
Anderson,br BRA,23.0,3,1,2,0.667,Bahia,34
Tiago Volpi,br BRA,90.0,2,1,2,0.5,São Paulo,34
Fernando Miguel,br BRA,90.0,2,0,2,1.0,Vasco da Gama,35
Fernando Prass,br BRA,90.0,4,3,1,0.25,Ceará,35
Muriel Becker,br BRA,90.0,5,0,5,1.0,Fluminense,36
Santos,br BRA,90.0,3,1,2,0.667,Atl Paranaense,36
Rafael Pires,br BRA,90.0,3,1,2,0.667,Atlético Mineiro,37
Marcelo Lomba,br BRA,90.0,0,0,0,,Internacional,37
Jean,br BRA,90.0,2,2,0,0.0,Atl Goianiense,38
Tadeu,br BRA,90.0,4,0,4,1.0,Goiás,38
Gatito Fernández,py PAR,90.0,4,1,4,1.0,Botafogo (RJ),39
Diego Alves,br BRA,90.0,1,1,0,0.0,Flamengo,39
João Paulo,br BRA,90.0,4,2,3,0.75,Santos,40
Wéverton,br BRA,90.0,3,1,2,0.667,Palmeiras,40
Paulo Victor Vidotti,br BRA,90.0,3,0,3,1.0,Grêmio,41
Fernando Miguel,br BRA,90.0,4,0,4,1.0,Vasco da Gama,41
Wilson,br BRA,90.0,2,1,1,0.5,Coritiba,42
Cleiton Schwengber,br BRA,90.0,3,2,2,0.667,Bragantino,42
Tiago Volpi,br BRA,90.0,2,0,2,1.0,São Paulo,43
Mailson,br BRA,90.0,4,1,3,0.75,Sport Recife,43
Anderson,br BRA,90.0,4,2,2,0.5,Bahia,44
Fernando Prass,br BRA,90.0,7,0,7,1.0,Ceará,44
Santos,br BRA,90.0,6,1,5,0.833,Atl Paranaense,45
Tiago Volpi,br BRA,90.0,3,0,3,1.0,São Paulo,45
Felipe Alves Raymundo,br BRA,90.0,7,1,6,0.857,Fortaleza,46
Cássio,br BRA,90.0,3,1,2,0.667,Corinthians,46
Marcelo Lomba,br BRA,90.0,3,1,2,0.667,Internacional,47
Gatito Fernández,py PAR,90.0,4,2,2,0.5,Botafogo (RJ),47
Fernando Miguel,br BRA,90.0,3,2,1,0.33299999999999996,Vasco da Gama,48
Marcos Felipe,br BRA,90.0,4,1,3,0.75,Fluminense,48
Wéverton,br BRA,90.0,1,1,0,0.0,Palmeiras,49
Anderson,br BRA,90.0,5,1,4,0.8,Bahia,49
Cleiton Schwengber,br BRA,90.0,6,3,3,0.5,Bragantino,50
Felipe Alves Raymundo,br BRA,90.0,2,0,2,1.0,Fortaleza,50
Cássio,br BRA,90.0,5,2,3,0.6,Corinthians,51
Tiago Volpi,br BRA,90.0,5,1,4,0.8,São Paulo,51
Diego Alves,br BRA,63.0,6,1,5,0.833,Flamengo,52
César,br BRA,27.0,0,0,0,,Flamengo,52
João Paulo,br BRA,90.0,6,1,5,0.833,Santos,52
Mailson,br BRA,90.0,2,1,2,1.0,Sport Recife,53
Wilson,br BRA,90.0,1,0,1,1.0,Coritiba,53
Fernando Prass,br BRA,90.0,4,0,4,1.0,Ceará,54
Jean,br BRA,90.0,5,2,3,0.6,Atl Goianiense,54
Felipe Alves Raymundo,br BRA,90.0,4,1,3,0.75,Fortaleza,55
Fernando Prass,br BRA,90.0,0,0,0,,Ceará,55
Cássio,br BRA,90.0,2,1,1,0.5,Corinthians,56
Tadeu,br BRA,90.0,5,2,3,0.6,Goiás,56
Jean,br BRA,90.0,4,1,3,0.75,Atl Goianiense,57
Marcos Felipe,br BRA,90.0,3,1,2,0.667,Fluminense,57
Gabriel Batista,br BRA,90.0,6,3,3,0.5,Flamengo,58
Anderson,br BRA,90.0,8,5,3,0.375,Bahia,58
Wilson,br BRA,90.0,5,0,5,1.0,Coritiba,59
Gatito Fernández,py PAR,90.0,3,0,3,1.0,Botafogo (RJ),59
Cleiton Schwengber,br BRA,90.0,5,1,4,0.8,Bragantino,60
Santos,br BRA,90.0,3,1,2,0.667,Atl Paranaense,60
Fernando Miguel,br BRA,90.0,5,2,3,0.6,Vasco da Gama,61
João Paulo,br BRA,90.0,2,2,1,0.5,Santos,61
Marcelo Lomba,br BRA,90.0,1,1,0,0.0,Internacional,62
