Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
1.0,Sun,2022-11-20,19:00,Qatar qa,0.3,0–2,1.2,ec Ecuador,67372.0,Al Bayt Stadium (Neutral Site),Daniele Orsato,Match Report,
1.0,Mon,2022-11-21,16:00,England eng,2.1,6–2,1.4,ir IR Iran,45334.0,Khalifa International Stadium (Neutral Site),Raphael Claus,Match Report,
1.0,Mon,2022-11-21,19:00,Senegal sn,0.9,0–2,0.7,nl Netherlands,41721.0,Al Thumama Stadium (Neutral Site),Wilton Sampaio,Match Report,
1.0,Mon,2022-11-21,22:00,United States us,0.8,1–1,1.5,wls Wales,43418.0,Ahmed bin Ali Stadium (Neutral Site),Abdulrahman Ibrahim Al Jassim,Match Report,
1.0,Tue,2022-11-22,13:00,Argentina ar,2.2,1–2,0.1,sa Saudi Arabia,88012.0,Lusail Iconic Stadium (Neutral Site),Slavko Vinčič,Match Report,
1.0,Tue,2022-11-22,16:00,Denmark dk,1.4,0–0,0.9,tn Tunisia,42925.0,Education City Stadium (Neutral Site),César Arturo Ramos,Match Report,
1.0,Tue,2022-11-22,19:00,Mexico mx,0.7,0–0,0.9,pl Poland,39369.0,Stadium 974 (Neutral Site),Chris Beath,Match Report,
1.0,Tue,2022-11-22,22:00,France fr,4.0,4–1,0.5,au Australia,40875.0,Al Janoub Stadium (Neutral Site),Victor Gomes,Match Report,
1.0,Wed,2022-11-23,13:00,Morocco ma,0.4,0–0,0.5,hr Croatia,59407.0,Al Bayt Stadium (Neutral Site),Fernando Rapallini,Match Report,
1.0,Wed,2022-11-23,16:00,Germany de,3.1,1–2,1.5,jp Japan,42608.0,Khalifa International Stadium (Neutral Site),Iván Barton,Match Report,
1.0,Wed,2022-11-23,19:00,Spain es,3.5,7–0,0.0,cr Costa Rica,40013.0,Al Thumama Stadium (Neutral Site),Mohammed Abdulla Hassan,Match Report,
1.0,Wed,2022-11-23,22:00,Belgium be,0.8,1–0,2.4,ca Canada,40432.0,Ahmed bin Ali Stadium (Neutral Site),Janny Sikazwe,Match Report,
1.0,Thu,2022-11-24,13:00,Switzerland ch,1.4,1–0,0.7,cm Cameroon,39089.0,Al Janoub Stadium (Neutral Site),Facundo Tello,Match Report,
1.0,Thu,2022-11-24,16:00,Uruguay uy,0.6,0–0,0.6,kr Korea Republic,41663.0,Education City Stadium (Neutral Site),Clément Turpin,Match Report,
1.0,Thu,2022-11-24,19:00,Portugal pt,2.0,3–2,0.9,gh Ghana,42662.0,Stadium 974 (Neutral Site),Ismail Elfath,Match Report,
1.0,Thu,2022-11-24,22:00,Brazil br,2.4,2–0,0.2,rs Serbia,88103.0,Lusail Iconic Stadium (Neutral Site),Alireza Faghani,Match Report,
,,,,,,,,,,,,,
2.0,Fri,2022-11-25,13:00,Wales wls,0.9,0–2,1.4,ir IR Iran,40875.0,Ahmed bin Ali Stadium (Neutral Site),Mario Escobar,Match Report,
2.0,Fri,2022-11-25,16:00,Qatar qa,1.0,1–3,0.8,sn Senegal,41797.0,Al Thumama Stadium (Neutral Site),Antonio Matéu,Match Report,
2.0,Fri,2022-11-25,19:00,Netherlands nl,0.1,1–1,1.7,ec Ecuador,44833.0,Khalifa International Stadium (Neutral Site),Mustapha Ghorbal,Match Report,
2.0,Fri,2022-11-25,22:00,England eng,0.8,0–0,0.6,us United States,68463.0,Al Bayt Stadium (Neutral Site),Jesús Valenzuela,Match Report,
2.0,Sat,2022-11-26,13:00,Tunisia tn,0.9,0–1,0.6,au Australia,41823.0,Al Janoub Stadium (Neutral Site),Daniel Siebert,Match Report,
2.0,Sat,2022-11-26,16:00,Poland pl,1.6,2–0,1.7,sa Saudi Arabia,44259.0,Education City Stadium (Neutral Site),Wilton Sampaio,Match Report,
2.0,Sat,2022-11-26,19:00,France fr,2.4,2–1,0.6,dk Denmark,42860.0,Stadium 974 (Neutral Site),Szymon Marciniak,Match Report,
2.0,Sat,2022-11-26,22:00,Argentina ar,0.3,2–0,0.3,mx Mexico,88966.0,Lusail Iconic Stadium (Neutral Site),Daniele Orsato,Match Report,
