player,shirt_number,position,age,minutes,yellow_cards,red_cards,2crdy,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_on,penalty_kicks_won,penalty_kicks_conceded,own_goals,recov,won,lost,won%,team,match_id,match_url
Michael Estrada,11.0,FW,26-227,89,0,0,0,0,3,1,0,0,0,0,0,0,3,6,5,54.5,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Kevin Jauch,26.0,FW,29-361,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Enner Valencia,13.0,FW,33-016,76,0,0,0,1,4,1,0,1,0,1,0,0,2,1,2,33.3,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
José Cifuentes,5.0,AM,23-253,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Romario Ibarra,10.0,LM,28-057,67,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0.0,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Jeremy Sarmiento,16.0,"LW,LM",20-157,23,0,0,0,0,1,1,1,0,1,0,0,0,3,0,0,,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Moisés Caicedo,23.0,"CM,DM",21-018,89,1,0,0,1,2,0,0,2,0,0,0,0,6,0,0,,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Alan Franco,21.0,DM,24-091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Jhegson Méndez,20.0,"CM,DM",25-208,90,1,0,0,3,1,0,1,1,1,0,0,0,7,0,1,0.0,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Gonzalo Plata,19.0,"RM,RW",22-019,90,0,0,0,1,3,0,6,2,0,0,0,0,4,2,2,50.0,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Pervis Estupiñán,7.0,LB,24-303,90,0,0,0,4,0,1,3,1,2,0,0,0,6,1,1,50.0,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Piero Hincapié,3.0,CB,20-315,90,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Félix Torres Caicedo,2.0,CB,25-313,90,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,50.0,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Ángelo Preciado,17.0,RB,24-275,90,0,0,0,2,1,0,3,2,3,0,0,0,5,2,1,66.7,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
Hernán Galíndez,1.0,GK,35-235,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Ecuador,0,/en/matches/1b2886ce/Qatar-Ecuador-November-20-2022-World-Cup
