fouls,corners,crosses,touches,tackles,interceptions,aerials_won,clearances,offsides,goal_kicks,throw_ins,long_balls,score,team,match_id,result,stadium,state,UF,matchweek,date,time,assists_sum_defense,penalty_kicks_made_sum_defense,penalty_kicks_attempted_sum_defense,shots_sum_defense,shots_on_target_sum_defense,yellow_cards_sum_defense,red_cards_sum_defense,fouls_commited_sum_defense,fouls_drawn_sum_defense,offsides_sum_defense,crosses_sum_defense,tackles_on_sum_defense,interceptions_sum_defense,own_goals_sum_defense,penalty_kicks_won_sum_defense,penalty_kicks_conceded_sum_defense,assists_mean_defense,penalty_kicks_made_mean_defense,penalty_kicks_attempted_mean_defense,shots_mean_defense,shots_on_target_mean_defense,yellow_cards_mean_defense,red_cards_mean_defense,fouls_commited_mean_defense,fouls_drawn_mean_defense,offsides_mean_defense,crosses_mean_defense,tackles_on_mean_defense,interceptions_mean_defense,own_goals_mean_defense,penalty_kicks_won_mean_defense,penalty_kicks_conceded_mean_defense,assists_sum_mid,penalty_kicks_made_sum_mid,penalty_kicks_attempted_sum_mid,shots_sum_mid,shots_on_target_sum_mid,yellow_cards_sum_mid,red_cards_sum_mid,fouls_commited_sum_mid,fouls_drawn_sum_mid,offsides_sum_mid,crosses_sum_mid,tackles_on_sum_mid,interceptions_sum_mid,own_goals_sum_mid,penalty_kicks_won_sum_mid,penalty_kicks_conceded_sum_mid,assists_mean_mid,penalty_kicks_made_mean_mid,penalty_kicks_attempted_mean_mid,shots_mean_mid,shots_on_target_mean_mid,yellow_cards_mean_mid,red_cards_mean_mid,fouls_commited_mean_mid,fouls_drawn_mean_mid,offsides_mean_mid,crosses_mean_mid,tackles_on_mean_mid,interceptions_mean_mid,own_goals_mean_mid,penalty_kicks_won_mean_mid,penalty_kicks_conceded_mean_mid,assists_sum_attack,penalty_kicks_made_sum_attack,penalty_kicks_attempted_sum_attack,shots_sum_attack,shots_on_target_sum_attack,yellow_cards_sum_attack,red_cards_sum_attack,fouls_commited_sum_attack,fouls_drawn_sum_attack,offsides_sum_attack,crosses_sum_attack,tackles_on_sum_attack,interceptions_sum_attack,own_goals_sum_attack,penalty_kicks_won_sum_attack,penalty_kicks_conceded_sum_attack,assists_mean_attack,penalty_kicks_made_mean_attack,penalty_kicks_attempted_mean_attack,shots_mean_attack,shots_on_target_mean_attack,yellow_cards_mean_attack,red_cards_mean_attack,fouls_commited_mean_attack,fouls_drawn_mean_attack,offsides_mean_attack,crosses_mean_attack,tackles_on_mean_attack,interceptions_mean_attack,own_goals_mean_attack,penalty_kicks_won_mean_attack,penalty_kicks_conceded_mean_attack
12.0,3.0,16.0,455,7.0,9.0,8.0,6.0,1.0,6.0,13.0,55.0,0,Fortaleza,0,L,Estádio Castelão,Fortaleza,CE,1,2020-08-08,19:00,0,0,0,0,0,1,1,5,2,0,7,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.4,0.0,1.4,0.6,0.6,0.0,,,0,0,0,9,2,2,0,5,5,1,8,4,6,0,0.0,0.0,0.0,0.0,0.0,1.125,0.25,0.25,0.0,0.625,0.625,0.125,1.0,0.5,0.75,0.0,,,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,
7.0,4.0,8.0,590,8.0,5.0,9.0,13.0,1.0,8.0,16.0,55.0,2,Atl Paranaense,0,W,Estádio Castelão,Fortaleza,CE,1,2020-08-08,19:00,0,0,0,0,0,0,0,0,1,0,5,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.6,0.4,0.0,,,0,0,0,5,1,2,0,7,4,0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.0,1.1666666666666667,0.6666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,,,0,0,0,8,4,0,0,0,6,1,2,3,1,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.5,0.25,0.5,0.75,0.25,0.0,,
5.0,2.0,7.0,297,7.0,12.0,13.0,15.0,3.0,7.0,12.0,30.0,0,Coritiba,1,L,Estádio Major Antônio Couto Pereira,Curitiba,PR,1,2020-08-08,19:30,0,0,0,0,0,1,0,1,2,0,5,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,1.25,0.5,1.25,0.0,,,0,0,0,1,0,0,0,3,9,2,2,2,7,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,1.2857142857142858,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,0.0,,,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,,
13.0,6.0,27.0,452,9.0,6.0,14.0,6.0,2.0,4.0,17.0,41.0,1,Internacional,1,W,Estádio Major Antônio Couto Pereira,Curitiba,PR,1,2020-08-08,19:30,0,0,0,3,2,3,0,8,2,1,11,4,4,0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.0,2.0,0.5,0.25,2.75,1.0,1.0,0.0,,,0,0,0,4,1,1,0,4,3,1,16,2,2,0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.5714285714285714,0.42857142857142855,0.14285714285714285,2.2857142857142856,0.2857142857142857,0.2857142857142857,0.0,,,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,0.0,1.0,54,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,3,Sport Recife,2,W,Estádio Adelmar da Costa Carvalho,Recife,PE,1,2020-08-08,21:00,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,,,0,0,0,1,1,1,0,1,2,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.25,0.0,0.0,0.125,0.125,0.0,,,0,1,1,2,2,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,
3.0,1.0,3.0,91,1.0,1.0,1.0,0.0,0.0,0.0,6.0,7.0,2,Ceará,2,L,Estádio Adelmar da Costa Carvalho,Recife,PE,1,2020-08-08,21:00,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,,,1,0,0,0,0,2,0,3,0,0,2,0,1,0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,,,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,,
12.0,9.0,19.0,720,16.0,3.0,20.0,7.0,2.0,4.0,27.0,58.0,0,Flamengo,3,L,Estadio Jornalista Mário Filho,Rio de Janeiro,RJ,1,2020-08-09,16:00,0,0,0,0,0,1,0,2,6,0,6,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.5,0.0,1.5,1.0,0.25,0.25,,,0,0,0,10,2,1,0,8,11,2,10,7,2,0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.3333333333333333,0.16666666666666666,0.0,1.3333333333333333,1.8333333333333333,0.3333333333333333,1.6666666666666667,1.1666666666666667,0.3333333333333333,0.0,,,0,0,0,7,0,1,0,2,3,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,,
24.0,2.0,6.0,486,16.0,15.0,5.0,24.0,3.0,12.0,12.0,65.0,1,Atlético Mineiro,3,W,Estadio Jornalista Mário Filho,Rio de Janeiro,RJ,1,2020-08-09,16:00,0,0,0,0,0,1,0,4,3,0,0,2,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.75,0.0,0.0,0.5,1.5,0.0,,,0,0,0,5,1,1,0,14,7,2,5,6,8,0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,2.0,1.0,0.2857142857142857,0.7142857142857143,0.8571428571428571,1.1428571428571428,0.0,,,0,0,0,5,3,0,0,6,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,0.0,0.0,1.5,0.0,0.25,0.25,0.25,0.25,0.0,,
10.0,4.0,20.0,625,18.0,14.0,12.0,17.0,4.0,12.0,17.0,58.0,1,Santos,4,D,Estádio Urbano Caldeira,Santos,SP,1,2020-08-09,16:00,0,0,0,3,1,0,0,2,5,0,4,7,9,0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.4,1.0,0.0,0.8,1.4,1.8,0.0,,,1,0,1,1,0,0,0,3,5,1,8,6,4,0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,2.0,1.3333333333333333,0.0,,,0,0,0,6,3,0,0,5,9,3,8,0,1,0,0.0,0.0,0.0,0.0,0.0,1.5,0.75,0.0,0.0,1.25,2.25,0.75,2.0,0.0,0.25,0.0,,
19.0,2.0,19.0,562,17.0,14.0,15.0,14.0,2.0,8.0,19.0,50.0,1,Bragantino,4,D,Estádio Urbano Caldeira,Santos,SP,1,2020-08-09,16:00,0,0,0,1,0,0,0,5,2,0,6,7,9,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.25,0.5,0.0,1.5,1.75,2.25,0.0,,,0,0,0,12,4,1,0,13,6,0,13,4,4,0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.16666666666666666,0.0,2.1666666666666665,1.0,0.0,2.1666666666666665,0.6666666666666666,0.6666666666666666,0.0,,,0,0,0,5,2,0,0,1,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.25,0.5,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,,
24.0,6.0,18.0,680,14.0,16.0,25.0,18.0,2.0,6.0,28.0,50.0,1,Grêmio,5,W,Arena do Grêmio,Porto Alegre,,1,2020-08-09,19:00,0,0,0,1,0,2,0,12,4,0,6,4,8,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,2.4,0.8,0.0,1.2,0.8,1.6,0.0,,,0,0,0,9,2,0,0,9,8,2,11,3,6,0,0.0,0.0,0.0,0.0,0.0,1.125,0.25,0.0,0.0,1.125,1.0,0.25,1.375,0.375,0.75,0.0,,,0,0,0,5,2,0,0,3,3,0,1,2,2,0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0.0,0.0,1.5,1.5,0.0,0.5,1.0,1.0,0.0,,
